Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00       50     0.00     0.00  std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::operator[](unsigned long)
  0.00      0.42     0.00       50     0.00     0.00  std::pair<unsigned int, unsigned int> std::make_pair<unsigned int, unsigned int>(unsigned int, unsigned int)
  0.00      0.42     0.00       48     0.00     0.00  __gnu_cxx::__ops::_Val_less_iter::_Val_less_iter()
  0.00      0.42     0.00       48     0.00     0.00  __gnu_cxx::__ops::__val_less_iter()
  0.00      0.42     0.00       48     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::begin()
  0.00      0.42     0.00       46     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> std::__miter_base<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>)
  0.00      0.42     0.00       42     0.00     0.00  long const& std::min<long>(long const&, long const&)
  0.00      0.42     0.00       38     0.00     0.00  std::_Vector_base<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::_M_get_Tp_allocator()
  0.00      0.42     0.00       36     0.00     0.00  std::__new_allocator<std::pair<unsigned int, unsigned int> >::_M_max_size() const
  0.00      0.42     0.00       33     0.00     0.00  __gnu_cxx::__enable_if<__is_random_access_iter<unsigned int*>::__value, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >::__type std::__copy_move_a1<false, unsigned int*, unsigned int>(unsigned int*, unsigned int*, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>)
  0.00      0.42     0.00       26     0.00     0.00  unsigned int* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<unsigned int>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      0.42     0.00       26     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >::difference_type std::__distance<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, std::random_access_iterator_tag)
  0.00      0.42     0.00       26     0.00     0.00  unsigned int* std::__copy_move_backward_a1<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.42     0.00       26     0.00     0.00  unsigned int* std::__copy_move_backward_a2<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.42     0.00       26     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >)
  0.00      0.42     0.00       25     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      0.42     0.00       25     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> std::__niter_wrap<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>)
  0.00      0.42     0.00       24     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::pair<unsigned int, unsigned int> >, std::pair<unsigned int, unsigned int> >::max_size(std::allocator<std::pair<unsigned int, unsigned int> > const&)
  0.00      0.42     0.00       24     0.00     0.00  std::_Vector_base<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::_M_get_Tp_allocator() const
  0.00      0.42     0.00       24     0.00     0.00  std::__new_allocator<std::pair<unsigned int, unsigned int> >::max_size() const
  0.00      0.42     0.00       24     0.00     0.00  std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::max_size() const
  0.00      0.42     0.00       24     0.00     0.00  std::pair<unsigned int, unsigned int>* std::__uninitialized_copy<false>::__uninit_copy<std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*>(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*)
  0.00      0.42     0.00       24     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::insert(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int const&)
  0.00      0.42     0.00       24     0.00     0.00  std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::_S_max_size(std::allocator<std::pair<unsigned int, unsigned int> > const&)
  0.00      0.42     0.00       24     0.00     0.00  std::iterator_traits<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >::difference_type std::__distance<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::random_access_iterator_tag)
  0.00      0.42     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > std::upper_bound<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      0.42     0.00       24     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> std::upper_bound<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int>(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int const&)
  0.00      0.42     0.00       24     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > std::__upper_bound<__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int, __gnu_cxx::__ops::_Val_less_iter>(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.42     0.00       24     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> std::__upper_bound<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int, __gnu_cxx::__ops::_Val_less_iter>(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int const&, __gnu_cxx::__ops::_Val_less_iter)
  0.00      0.42     0.00       24     0.00     0.00  std::pair<unsigned int, unsigned int>* std::__do_uninit_copy<std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*>(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*)
  0.00      0.42     0.00       24     0.00     0.00  std::pair<unsigned int, unsigned int>* std::uninitialized_copy<std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*>(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*)
  0.00      0.42     0.00       24     0.00     0.00  std::pair<unsigned int, unsigned int>* std::__uninitialized_copy_a<std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int> >(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::allocator<std::pair<unsigned int, unsigned int> >&)
  0.00      0.42     0.00       24     0.00     0.00  std::pair<unsigned int, unsigned int>* std::__uninitialized_move_if_noexcept_a<std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::allocator<std::pair<unsigned int, unsigned int> > >(std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::pair<unsigned int, unsigned int>*, std::allocator<std::pair<unsigned int, unsigned int> >&)
  0.00      0.42     0.00       24     0.00     0.00  std::iterator_traits<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >::difference_type std::distance<std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>)
  0.00      0.42     0.00       23     0.00     0.00  bool __gnu_cxx::operator==<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00      0.42     0.00       23     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_M_const_cast() const
  0.00      0.42     0.00       23     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_Deque_iterator(unsigned int*, unsigned int**)
  0.00      0.42     0.00       23     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_M_insert_aux(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, unsigned int const&)
  0.00      0.42     0.00       23     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned int const&)
  0.00      0.42     0.00       23     0.00     0.00  unsigned int* std::copy_backward<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.42     0.00       23     0.00     0.00  unsigned int* std::__copy_move_backward_a<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      0.42     0.00       22     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::push_front(unsigned int const&)
  0.00      0.42     0.00       20     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::front()
  0.00      0.42     0.00       20     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> std::__copy_move_a<false, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> >(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>)
  0.00      0.42     0.00       20     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> std::__copy_move_a1<false, unsigned int, unsigned int&, unsigned int*, unsigned int>(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>)
